"","topic","country","ngo","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","error","moderationStatus"
"1","migration","pl","nomadango","Pan Fuczkowiecki","https://yt3.ggpht.com/-_pyMV_2x0uc/AAAAAAAAAAI/AAAAAAAAAAA/6642uWOWnrc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCQgmYCBoXGWDm6g1Z8Hy2Xw","UCQgmYCBoXGWDm6g1Z8Hy2Xw","fyaHMK7PNdE","Istnieje wiele bezpiecznych i bliższych  krajów na bliskim wschodzie więc po co emigrują aż do Europy? Arabia Saudyjska jest Islamska bogata i bliska więc co oni tutaj robią ?","Istnieje wiele bezpiecznych i bliższych  krajów na bliskim wschodzie więc po co emigrują aż do Europy? Arabia Saudyjska jest Islamska bogata i bliska więc co oni tutaj robią ?","TRUE","none","0",2016-05-13 17:28:58,2016-05-13 17:28:58,NA,NA
"2","migration","pl","nomadango","Franz Maurer","https://yt3.ggpht.com/-W78fCOAxiHI/AAAAAAAAAAI/AAAAAAAAAAA/LVuxlv9khlM/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCheKUEltMIGzIFsWutPMw8g","UCheKUEltMIGzIFsWutPMw8g","fyaHMK7PNdE","WYPIERDALAĆ!","WYPIERDALAĆ!","TRUE","none","0",2016-05-12 14:33:36,2016-05-12 14:33:36,NA,NA
"3","migration","pl","nomadango","Artur Kwiatkowski","https://yt3.ggpht.com/-T3hpdyCbgO8/AAAAAAAAAAI/AAAAAAAAAAA/mSYRyBhhBYY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCtsoPEbT90vSM2QCy99DpmA","UCtsoPEbT90vSM2QCy99DpmA","fyaHMK7PNdE","Co to za chłam ? <br />Polska cała tylko biała!<br />Nie chcemy tutaj takich ekscesów jak na zachodzie.","Co to za chłam ? 
Polska cała tylko biała!
Nie chcemy tutaj takich ekscesów jak na zachodzie.","TRUE","none","2",2016-05-12 11:38:13,2016-05-12 11:38:13,NA,NA
"4","migration","pl","PolAkHum","Ela Demus","https://yt3.ggpht.com/-_qqxcKDmyPE/AAAAAAAAAAI/AAAAAAAAAAA/ghYWM2EHO3Y/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCpLYh3aIb9TnbcHcASceyRw","UCpLYh3aIb9TnbcHcASceyRw","ziR7GARforE","Thank you so much for your activity. I support your aid  and I will support - as far as my modest possibilities allow me.","Thank you so much for your activity. I support your aid  and I will support - as far as my modest possibilities allow me.","TRUE","none","0",2018-02-22 14:25:54,2018-02-22 14:25:54,NA,NA
"5","migration","pl","aipoland","AsikkRambo","https://yt3.ggpht.com/-uD7wpNP-l2s/AAAAAAAAAAI/AAAAAAAAAAA/MiZJxOjMrqI/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCvrEQqeLoLPUm4-LmEelhIg","UCvrEQqeLoLPUm4-LmEelhIg","LNFZr56zoow","Warto pamiętać, że prawdziwa skala problemu jest o wiele większa.","Warto pamiętać, że prawdziwa skala problemu jest o wiele większa.","TRUE","none","0",2018-02-12 17:58:47,2018-02-12 17:58:47,NA,NA
"6","migration","pl","aipoland","Dominik Wyleżoł","https://yt3.ggpht.com/-HtmLgx1MINw/AAAAAAAAAAI/AAAAAAAAAAA/9b6jzuOzfCc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCGQshYNsCeszF91mfdEvS7A","UCGQshYNsCeszF91mfdEvS7A","-WX5fl5Z-Pc","☺","☺","TRUE","none","0",2017-12-20 17:35:18,2017-12-20 17:35:18,NA,NA
"7","migration","pl","aipoland","Dominik Wyleżoł","https://yt3.ggpht.com/-HtmLgx1MINw/AAAAAAAAAAI/AAAAAAAAAAA/9b6jzuOzfCc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCGQshYNsCeszF91mfdEvS7A","UCGQshYNsCeszF91mfdEvS7A","va-r8zs75vk","0","0","TRUE","none","0",2017-12-07 19:25:20,2017-12-07 19:25:20,NA,NA
"8","migration","pl","UCfHDqu3GF5ZqbUentM_f5xg","Civil Border Patrol","https://yt3.ggpht.com/-Y5jrNPvePyk/AAAAAAAAAAI/AAAAAAAAAAA/M1n6Lpt7XN4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCT4z5f8PwZeOIIKTDWzH6sw","UCT4z5f8PwZeOIIKTDWzH6sw","Tm8zpLW5Zmc","No skoro ratownicy powiedzieli, że nic się nie stało, to ja im wierzę","No skoro ratownicy powiedzieli, że nic się nie stało, to ja im wierzę","TRUE","none","0",2017-04-07 18:12:33,2017-04-07 18:12:33,NA,NA
"9","migration","pl","UCfHDqu3GF5ZqbUentM_f5xg","hawaiian108","https://yt3.ggpht.com/-36MEw96Fvj4/AAAAAAAAAAI/AAAAAAAAAAA/mNKbTMcl89A/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCc-c7ojAa8qSLNrhPIffg1w","UCc-c7ojAa8qSLNrhPIffg1w","SJqQHLX8eI8","wypier...c ich wszystkich, razem z fundacja.","wypier...c ich wszystkich, razem z fundacja.","TRUE","none","0",2017-04-07 07:26:25,2017-04-07 07:26:25,NA,NA
"10","migration","pl","UCfHDqu3GF5ZqbUentM_f5xg","Anna N.","https://yt3.ggpht.com/-sv8Xb70wil8/AAAAAAAAAAI/AAAAAAAAAAA/GcHfKo8onI8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC4J_1nj8QTYrs_P90vri9cg","UC4J_1nj8QTYrs_P90vri9cg","nUyeyX69C0E","Fundacja ocalenie to bezczelna niemiecka fundacja handlująca żywym towarem założona przez Sorosa i mająca na celu sprowadzenie beżowych do Polski. Apelujmy do rządu o zdelegalizowanie szwabów w Polsce zanim będziemy ciężko żałować swojej głupoty. <br />Nie dajcie się Polacy zbałamucić oszustom podszywającym się pod zbawicieli, to są przestępcy wg polskiego prawa. Strona ocaleni musi zostać zamknięta, poszły już listy w tej sprawie do Ministra Ziobro. Tu link o tej fundacji:   <a href=""http://niezalezna.pl/97492-chca-sciagac-imigrantow-do-polski-kto-finansuje-tajemniczy-projekt-refugees-welcome-polska#comment-4436712"">http://niezalezna.pl/97492-chca-sciagac-imigrantow-do-polski-kto-finansuje-tajemniczy-projekt-refugees-welcome-polska#comment-4436712</a>, podawajcie dalej. Polacy muszą wiedzieć jak szwaby piorą im mózgi.","Fundacja ocalenie to bezczelna niemiecka fundacja handlująca żywym towarem założona przez Sorosa i mająca na celu sprowadzenie beżowych do Polski. Apelujmy do rządu o zdelegalizowanie szwabów w Polsce zanim będziemy ciężko żałować swojej głupoty. 
Nie dajcie się Polacy zbałamucić oszustom podszywającym się pod zbawicieli, to są przestępcy wg polskiego prawa. Strona ocaleni musi zostać zamknięta, poszły już listy w tej sprawie do Ministra Ziobro. Tu link o tej fundacji:   http://niezalezna.pl/97492-chca-sciagac-imigrantow-do-polski-kto-finansuje-tajemniczy-projekt-refugees-welcome-polska#comment-4436712, podawajcie dalej. Polacy muszą wiedzieć jak szwaby piorą im mózgi.","TRUE","none","0",2017-04-23 08:54:00,2017-04-23 08:54:00,NA,NA
