"","topic","country","ngo","id","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","title","description","thumbnail","tags","categoryId","localized_title","localized_desc"
"1","migration","rs","FondacijaDivac","ROhNb0p6jW0","24","0","0","0","0","RTS, Dnevnik 2, ""Da rastemo srećni"", Fondacija Divac i NCR","Novinarka: Ivanka Ristovski Govore: Vesna Nedeljković, pomoćnica ministra prosvete za predškolsko i osnovno obrazovanje i vaspitanje, Jelena Rakić, koordinatorka projekta, Fondacija Ana i Vlade Divac, Stefan Lazarević, Generalni direktor NCR Srbija i EMEA direktor za spoljne poslove, Edin Škorić, bivši odbojkaški reprezentativac i trener Odbojkaškog kluba gluvih „Olimpija"".",NA,"NCR","29","RTS, Dnevnik 2, ""Da rastemo srećni"", Fondacija Divac i NCR","Novinarka: Ivanka Ristovski Govore: Vesna Nedeljković, pomoćnica ministra prosvete za predškolsko i osnovno obrazovanje i vaspitanje, Jelena Rakić, koordinatorka projekta, Fondacija Ana i Vlade Divac, Stefan Lazarević, Generalni direktor NCR Srbija i EMEA direktor za spoljne poslove, Edin Škorić, bivši odbojkaški reprezentativac i trener Odbojkaškog kluba gluvih „Olimpija""."
"2","migration","rs","FondacijaDivac","EYG9G4VXXnQ","5","0","0","0","0","Inkluzivna radionica ""Igrajmo se zajedno"", u udruženju ZaJEdno, Subotica","Serija inkluzivnih radionica u Subotici organizovana je za decu sa posebnim potrebama u prostorijama udruženja „Zajedno“ u kome sa lokalnom decom i decom migranta i njihovim roditeljima rade stručna lica. Kupljen je specijalan didaktički materijal igračke za ovo udruženje. Akcija je realizovana u okviru projekta „Podrška lokalnim zajednicama u odgovoru na izbegličku krizu"" koji se realizuje uz finansijsku podršku Američke agencije za međunarodni razvoj (USAID).","https://i.ytimg.com/vi/EYG9G4VXXnQ/maxresdefault.jpg",NA,"29","Inkluzivna radionica ""Igrajmo se zajedno"", u udruženju ZaJEdno, Subotica","Serija inkluzivnih radionica u Subotici organizovana je za decu sa posebnim potrebama u prostorijama udruženja „Zajedno“ u kome sa lokalnom decom i decom migranta i njihovim roditeljima rade stručna lica. Kupljen je specijalan didaktički materijal igračke za ovo udruženje. Akcija je realizovana u okviru projekta „Podrška lokalnim zajednicama u odgovoru na izbegličku krizu"" koji se realizuje uz finansijsku podršku Američke agencije za međunarodni razvoj (USAID)."
"3","migration","rs","FondacijaDivac","IW6OiWnM9r8","9","0","0","0","0","O ""Mreži omladinskih fondova Zapadnog Balkana i Turske"" - NVO Sektor, RTCG 25. 02.","U emisiji NVO sektor gostovale su Bojana Jevtović  i Miljana Kerču iz Fondacije Divac.",NA,NA,"29","O ""Mreži omladinskih fondova Zapadnog Balkana i Turske"" - NVO Sektor, RTCG 25. 02.","U emisiji NVO sektor gostovale su Bojana Jevtović  i Miljana Kerču iz Fondacije Divac."
"4","migration","rs","FondacijaDivac","bcyZXUgDVpg","21","0","0","0","0","Pomoć za IT kabinet u Aranđelovcu","Osnovna škola u Aranđelovcu “Ilija Garašanin” postoji od 1979 godine. IT kabinet je neophodan korak u obrazovanju koji će učenicima omogućiti da razviju svoje kompjuterke veštine i tako ih pripremiti za dalje školovanje, a kasnije  i za budući posao..",NA,NA,"29","Pomoć za IT kabinet u Aranđelovcu","Osnovna škola u Aranđelovcu “Ilija Garašanin” postoji od 1979 godine. IT kabinet je neophodan korak u obrazovanju koji će učenicima omogućiti da razviju svoje kompjuterke veštine i tako ih pripremiti za dalje školovanje, a kasnije  i za budući posao.."
"5","migration","rs","FondacijaDivac","kT6gJsxqqjE","40","2","0","0","0","Samohrana majka Radmila u novom domu, RTS 1 , Ovo je Srbija, 12.01.2017.","Radmila se, konačno sa svoje četvoro dece uselila u kuću u Vranju. Zahvaljujući donatorima koji su se odazvali na akciju Fondacije Ana i Vlade Divac, porodica Drljaca sada ima svoj dom.",NA,NA,"29","Samohrana majka Radmila u novom domu, RTS 1 , Ovo je Srbija, 12.01.2017.","Radmila se, konačno sa svoje četvoro dece uselila u kuću u Vranju. Zahvaljujući donatorima koji su se odazvali na akciju Fondacije Ana i Vlade Divac, porodica Drljaca sada ima svoj dom."
"6","migration","rs","FondacijaDivac","et517DrCBeE","11","0","0","0","0","Predstavljanje konkursa ""Možemo i mi"" , emisija ""Kroz grad"" TV Subotica, 28 11 2017","Konkurs „Možemo i mi“ u Šidu, Subotici i Preševu sprovodi Fondacija Ana i Vlade Divac u okviru projekta „Podrška stanovništvu u zajednicama pogođenim izbegličkom krizom u Srbiji“ uz podršku Fondacija za otvoreno društvo (Open Society Foundations).",NA,NA,"29","Predstavljanje konkursa ""Možemo i mi"" , emisija ""Kroz grad"" TV Subotica, 28 11 2017","Konkurs „Možemo i mi“ u Šidu, Subotici i Preševu sprovodi Fondacija Ana i Vlade Divac u okviru projekta „Podrška stanovništvu u zajednicama pogođenim izbegličkom krizom u Srbiji“ uz podršku Fondacija za otvoreno društvo (Open Society Foundations)."
"7","migration","rs","FondacijaDivac","VL7Tq5_eGRs","21","0","0","0","0","Divac Omladinski Fondovi - Aranđelovac, RTV Šumadija, 29.12.2017","Do sada je u okviru projekta podržano 501 omladinskih projekta koji su doprineli unapređenju kvaliteta života mladih u ovim lokalnim zajednicama.",NA,"mladi","29","Divac Omladinski Fondovi - Aranđelovac, RTV Šumadija, 29.12.2017","Do sada je u okviru projekta podržano 501 omladinskih projekta koji su doprineli unapređenju kvaliteta života mladih u ovim lokalnim zajednicama."
"8","migration","rs","FondacijaDivac","ggZXu-q5AbY","37","0","0","0","0","Mini mlekara u Požegi, O2TV, 31.12. 2017.","Donaciju koza u okviru projekta Divac Poljoprivredni Fondovi  je dobila i Poljoprivredna škola u Požegi, koja ranije nije nije imala koze, a čije se stado već uvećalo. Ove godine je pod pokroviteljstvom škole i u njihovim prostorijama osnovano i udruženje kozara za njihov kraj. U okviru DPF u 2016. godini za opštinu Požega osim 7 porodica koje su dobile donaciju po sedam  alpskih koza.",NA,NA,"29","Mini mlekara u Požegi, O2TV, 31.12. 2017.","Donaciju koza u okviru projekta Divac Poljoprivredni Fondovi  je dobila i Poljoprivredna škola u Požegi, koja ranije nije nije imala koze, a čije se stado već uvećalo. Ove godine je pod pokroviteljstvom škole i u njihovim prostorijama osnovano i udruženje kozara za njihov kraj. U okviru DPF u 2016. godini za opštinu Požega osim 7 porodica koje su dobile donaciju po sedam  alpskih koza."
"9","migration","rs","FondacijaDivac","Gr3w-IvCMyI","21","0","0","0","0","Paketi za izbeglice u Zemunu, TV Studio B, 28.12.2017.","Fondacija Ana i Vlade Divac je zahvaljujući donatorima podelila pakete hrane licima izbeglim sa prostora bivše Jugoslavije. Jedan od prvih zadataka Fondacije bila je upravo pomoć baš njima, a nismo ih ni danas zaboravili.",NA,"humanity help","29","Paketi za izbeglice u Zemunu, TV Studio B, 28.12.2017.","Fondacija Ana i Vlade Divac je zahvaljujući donatorima podelila pakete hrane licima izbeglim sa prostora bivše Jugoslavije. Jedan od prvih zadataka Fondacije bila je upravo pomoć baš njima, a nismo ih ni danas zaboravili."
"10","migration","rs","FondacijaDivac","qUmKib3lVts","53","0","0","0","0","Pomoć porodici Nikolić, RTS 1,  Dnevnik 2, 29.12.2017.","Porodica Nikolić živi u seoskoj kući koja je stara 200 godina, a već 4 godine nemaju struju. Kuća ne može da se popravi, jer su grede popucale, a jedan zid se obrušio.  
Porodicu čine 3 člana, otac Novica, ćerka Jovana i sin Jovan. Neophodna im je nova kuća, kao i bilo kakva ekonomska pomoć kako bi se bavili poljoprivredom ili stočarstvom. Više na www. divac.com",NA,"humanity help","29","Pomoć porodici Nikolić, RTS 1,  Dnevnik 2, 29.12.2017.","Porodica Nikolić živi u seoskoj kući koja je stara 200 godina, a već 4 godine nemaju struju. Kuća ne može da se popravi, jer su grede popucale, a jedan zid se obrušio.  
Porodicu čine 3 člana, otac Novica, ćerka Jovana i sin Jovan. Neophodna im je nova kuća, kao i bilo kakva ekonomska pomoć kako bi se bavili poljoprivredom ili stočarstvom. Više na www. divac.com"
