Source,Target,Type,Kind,Id,Label,timeset,Weight
0,1,Undirected,,0,ohn,,7.0
0,2,Undirected,,1,ohn,,7.0
1,0,Undirected,,2,österreich,,6.0
1,2,Undirected,,3,österreich,,6.0
2,0,Undirected,,4,mehr,,5.0
2,1,Undirected,,5,mehr,,5.0
3,4,Undirected,,6,facebook,,6.0
3,5,Undirected,,7,facebook,,6.0
4,3,Undirected,,8,eu,,6.0
4,5,Undirected,,9,eu,,6.0
5,3,Undirected,,10,neue,,5.0
5,4,Undirected,,11,neue,,5.0
2,4,Undirected,,12,mehr,,9.0
2,6,Undirected,,13,mehr,,9.0
4,2,Undirected,,14,eu,,5.0
4,6,Undirected,,15,eu,,5.0
6,2,Undirected,,16,märz,,4.0
6,4,Undirected,,17,märz,,4.0
7,1,Undirected,,18,dass,,6.0
7,8,Undirected,,19,dass,,6.0
1,7,Undirected,,20,österreich,,6.0
1,8,Undirected,,21,österreich,,6.0
8,7,Undirected,,22,europa,,5.0
8,1,Undirected,,23,europa,,5.0
4,9,Undirected,,24,eu,,8.0
4,10,Undirected,,25,eu,,8.0
9,4,Undirected,,26,geht,,6.0
9,10,Undirected,,27,geht,,6.0
10,4,Undirected,,28,medien,,5.0
10,9,Undirected,,29,medien,,5.0
4,11,Undirected,,30,eu,,9.0
4,12,Undirected,,31,eu,,9.0
11,4,Undirected,,32,netzwerk,,8.0
11,12,Undirected,,33,netzwerk,,8.0
12,4,Undirected,,34,staat,,5.0
12,11,Undirected,,35,staat,,5.0
13,7,Undirected,,36,us,,10.0
13,14,Undirected,,37,us,,10.0
7,13,Undirected,,38,dass,,5.0
7,14,Undirected,,39,dass,,5.0
14,13,Undirected,,40,gibt,,4.0
14,7,Undirected,,41,gibt,,4.0
15,16,Undirected,,42,prammer,,4.0
15,17,Undirected,,43,prammer,,4.0
16,15,Undirected,,44,wichtig,,3.0
16,17,Undirected,,45,wichtig,,3.0
17,15,Undirected,,46,immer,,3.0
17,16,Undirected,,47,immer,,3.0
11,1,Undirected,,48,netzwerk,,8.0
11,8,Undirected,,49,netzwerk,,8.0
1,11,Undirected,,50,österreich,,7.0
1,8,Undirected,,51,österreich,,7.0
8,11,Undirected,,52,europa,,6.0
8,1,Undirected,,53,europa,,6.0
3,11,Undirected,,54,facebook,,8.0
3,2,Undirected,,55,facebook,,8.0
11,3,Undirected,,56,netzwerk,,8.0
11,2,Undirected,,57,netzwerk,,8.0
2,3,Undirected,,58,mehr,,7.0
2,11,Undirected,,59,mehr,,7.0
13,18,Undirected,,60,us,,6.0
13,19,Undirected,,61,us,,6.0
18,13,Undirected,,62,us-bürger,,4.0
18,19,Undirected,,63,us-bürger,,4.0
19,13,Undirected,,64,al,,4.0
19,18,Undirected,,65,al,,4.0
13,2,Undirected,,66,us,,8.0
13,5,Undirected,,67,us,,8.0
2,13,Undirected,,68,mehr,,6.0
2,5,Undirected,,69,mehr,,6.0
5,13,Undirected,,70,neue,,5.0
5,2,Undirected,,71,neue,,5.0
20,19,Undirected,,72,menschen,,7.0
20,21,Undirected,,73,menschen,,7.0
19,20,Undirected,,74,al,,6.0
19,21,Undirected,,75,al,,6.0
21,20,Undirected,,76,macht,,6.0
21,19,Undirected,,77,macht,,6.0
5,22,Undirected,,78,neue,,5.0
5,23,Undirected,,79,neue,,5.0
22,5,Undirected,,80,orbán,,4.0
22,23,Undirected,,81,orbán,,4.0
23,5,Undirected,,82,spö,,4.0
23,22,Undirected,,83,spö,,4.0
24,2,Undirected,,84,sollen,,4.0
24,25,Undirected,,85,sollen,,4.0
2,24,Undirected,,86,mehr,,4.0
2,25,Undirected,,87,mehr,,4.0
25,24,Undirected,,88,schon,,4.0
25,2,Undirected,,89,schon,,4.0
11,19,Undirected,,90,netzwerk,,7.0
11,7,Undirected,,91,netzwerk,,7.0
19,11,Undirected,,92,al,,6.0
19,7,Undirected,,93,al,,6.0
7,11,Undirected,,94,dass,,6.0
7,19,Undirected,,95,dass,,6.0
13,2,Undirected,,96,us,,5.0
13,20,Undirected,,97,us,,5.0
2,13,Undirected,,98,mehr,,4.0
2,20,Undirected,,99,mehr,,4.0
20,13,Undirected,,100,menschen,,4.0
20,2,Undirected,,101,menschen,,4.0
2,26,Undirected,,102,mehr,,6.0
2,4,Undirected,,103,mehr,,6.0
26,2,Undirected,,104,beim,,5.0
26,4,Undirected,,105,beim,,5.0
4,2,Undirected,,106,eu,,4.0
4,26,Undirected,,107,eu,,4.0
2,27,Undirected,,108,mehr,,5.0
2,28,Undirected,,109,mehr,,5.0
27,2,Undirected,,110,griechisch,,4.0
27,28,Undirected,,111,griechisch,,4.0
28,2,Undirected,,112,griechenland,,4.0
28,27,Undirected,,113,griechenland,,4.0
20,29,Undirected,,114,menschen,,6.0
20,30,Undirected,,115,menschen,,6.0
29,20,Undirected,,116,ungleichheit,,5.0
29,30,Undirected,,117,ungleichheit,,5.0
30,20,Undirected,,118,han,,5.0
30,29,Undirected,,119,han,,5.0
31,32,Undirected,,120,flüchtling,,6.0
31,11,Undirected,,121,flüchtling,,6.0
32,31,Undirected,,122,wien,,6.0
32,11,Undirected,,123,wien,,6.0
11,31,Undirected,,124,netzwerk,,5.0
11,32,Undirected,,125,netzwerk,,5.0
5,4,Undirected,,126,neue,,6.0
5,2,Undirected,,127,neue,,6.0
4,5,Undirected,,128,eu,,6.0
4,2,Undirected,,129,eu,,6.0
2,5,Undirected,,130,mehr,,5.0
2,4,Undirected,,131,mehr,,5.0
32,33,Undirected,,132,wien,,7.0
32,2,Undirected,,133,wien,,7.0
33,32,Undirected,,134,leben,,5.0
33,2,Undirected,,135,leben,,5.0
2,32,Undirected,,136,mehr,,5.0
2,33,Undirected,,137,mehr,,5.0
5,34,Undirected,,138,neue,,6.0
5,35,Undirected,,139,neue,,6.0
34,5,Undirected,,140,kritik,,6.0
34,35,Undirected,,141,kritik,,6.0
35,5,Undirected,,142,millionen,,5.0
35,34,Undirected,,143,millionen,,5.0
11,2,Undirected,,144,netzwerk,,9.0
11,3,Undirected,,145,netzwerk,,9.0
2,11,Undirected,,146,mehr,,7.0
2,3,Undirected,,147,mehr,,7.0
3,11,Undirected,,148,facebook,,6.0
3,2,Undirected,,149,facebook,,6.0
4,11,Undirected,,150,eu,,7.0
4,2,Undirected,,151,eu,,7.0
11,4,Undirected,,152,netzwerk,,6.0
11,2,Undirected,,153,netzwerk,,6.0
2,4,Undirected,,154,mehr,,5.0
2,11,Undirected,,155,mehr,,5.0
2,20,Undirected,,156,mehr,,7.0
2,36,Undirected,,157,mehr,,7.0
20,2,Undirected,,158,menschen,,6.0
20,36,Undirected,,159,menschen,,6.0
36,2,Undirected,,160,erst,,5.0
36,20,Undirected,,161,erst,,5.0
2,1,Undirected,,162,mehr,,8.0
2,32,Undirected,,163,mehr,,8.0
1,2,Undirected,,164,österreich,,5.0
1,32,Undirected,,165,österreich,,5.0
32,2,Undirected,,166,wien,,5.0
32,1,Undirected,,167,wien,,5.0
11,2,Undirected,,168,netzwerk,,9.0
11,4,Undirected,,169,netzwerk,,9.0
2,11,Undirected,,170,mehr,,6.0
2,4,Undirected,,171,mehr,,6.0
4,11,Undirected,,172,eu,,6.0
4,2,Undirected,,173,eu,,6.0
4,13,Undirected,,174,eu,,9.0
4,2,Undirected,,175,eu,,9.0
13,4,Undirected,,176,us,,7.0
13,2,Undirected,,177,us,,7.0
2,4,Undirected,,178,mehr,,6.0
2,13,Undirected,,179,mehr,,6.0
4,37,Undirected,,180,eu,,5.0
4,38,Undirected,,181,eu,,5.0
37,4,Undirected,,182,sieht,,5.0
37,38,Undirected,,183,sieht,,5.0
38,4,Undirected,,184,wiener,,5.0
38,37,Undirected,,185,wiener,,5.0
10,3,Undirected,,186,medien,,6.0
10,2,Undirected,,187,medien,,6.0
3,10,Undirected,,188,facebook,,6.0
3,2,Undirected,,189,facebook,,6.0
2,10,Undirected,,190,mehr,,6.0
2,3,Undirected,,191,mehr,,6.0
4,19,Undirected,,192,eu,,10.0
4,2,Undirected,,193,eu,,10.0
19,4,Undirected,,194,al,,8.0
19,2,Undirected,,195,al,,8.0
2,4,Undirected,,196,mehr,,7.0
